Rank,Title,Lifetime Gross,Year
1,Avengers: Endgame,2797800564,2019
2,Avatar,2789968301,2009
3,Titanic,2187463944,1997
4,Star Wars: Episode VII - The Force Awakens,2068223624,2015
5,Avengers: Infinity War,2048359754,2018
6,Jurassic World,1670400637,2015
7,The Lion King,1651849419,2019
8,The Avengers,1518812988,2012
9,Furious Seven,1515047671,2015
10,Avengers: Age of Ultron,1402805868,2015
11,Black Panther,1346913161,2018
12,Harry Potter and the Deathly Hallows: Part 2,1341932398,2011
13,Star Wars: Episode VIII - The Last Jedi,1332539889,2017
14,Jurassic World: Fallen Kingdom,1308467944,2018
15,Frozen,1274219009,2013
16,Beauty and the Beast,1263521126,2017
17,Incredibles 2,1242805359,2018
18,The Fate of the Furious,1236005118,2017
19,Iron Man Three,1214811252,2013
20,Minions,1159398397,2015
21,Captain America: Civil War,1153296293,2016
22,Aquaman,1148161807,2018
23,Spider-Man: Far from Home,1131780617,2019
24,Captain Marvel,1128274794,2019
25,Transformers: Dark of the Moon,1123794079,2011
26,The Lord of the Rings: The Return of the King,1120424614,2003
27,Skyfall,1108561013,2012
28,Transformers: Age of Extinction,1104054072,2014
29,The Dark Knight Rises,1081041287,2012
30,Toy Story 4,1070776824,2019
31,Toy Story 3,1066969703,2010
32,Pirates of the Caribbean: Dead Man's Chest,1066179725,2006
33,Rogue One,1056057273,2016
34,Aladdin,1050690169,2019
35,Pirates of the Caribbean: On Stranger Tides,1045713802,2011
36,Despicable Me 3,1034799409,2017
37,Jurassic Park,1030314141,1993
38,Finding Dory,1028570889,2016
39,Star Wars: Episode I - The Phantom Menace,1027082707,1999
40,Alice in Wonderland,1025467110,2010
41,Zootopia,1023784195,2016
42,The Hobbit: An Unexpected Journey,1017003568,2012
43,The Dark Knight,1004934033,2008
44,Harry Potter and the Sorcerer's Stone,978087613,2001
45,Despicable Me 2,970766005,2013
46,Finding Nemo,969023261,2003
47,The Lion King,968511805,1994
48,The Jungle Book,966550600,2016
49,Jumanji: Welcome to the Jungle,962102237,2017
50,Pirates of the Caribbean: At World's End,960996492,2007
